ons_la_code_apr_2019,borough,quarter,count
E09000026,Redbridge,2016-04-01,78
E09000027,Richmond upon Thames,2016-04-01,74
E09000028,Southwark,2016-04-01,138
E09000029,Sutton,2016-04-01,25
E09000030,Tower Hamlets,2016-04-01,111
E09000031,Waltham Forest,2016-04-01,50
E09000032,Wandsworth,2016-04-01,49
E09000033,Westminster,2016-04-01,267
E09000002,Barking and Dagenham,2016-07-01,25
E09000003,Barnet,2016-07-01,256
E09000004,Bexley,2016-07-01,34
E09000005,Brent,2016-07-01,139
E09000006,Bromley,2016-07-01,83
E09000007,Camden,2016-07-01,161
E09000001,City of London,2016-07-01,87
E09000008,Croydon,2016-07-01,111
E09000009,Ealing,2016-07-01,196
E09000010,Enfield,2016-07-01,65
E09000011,Greenwich,2016-07-01,59
E09000012,Hackney,2016-07-01,99
E09000013,Hammersmith and Fulham,2016-07-01,133
E09000014,Haringey,2016-07-01,65
E09000015,Harrow,2016-07-01,43
E09000016,Havering,2016-07-01,111
E09000017,Hillingdon,2016-07-01,380
E09000018,Hounslow,2016-07-01,334
E09000019,Islington,2016-07-01,123
E09000020,Kensington and Chelsea,2016-07-01,67
E09000021,Kingston upon Thames,2016-07-01,25
E09000022,Lambeth,2016-07-01,129
E09000023,Lewisham,2016-07-01,27
E09000024,Merton,2016-07-01,171
E09000025,Newham,2016-07-01,50
E09000026,Redbridge,2016-07-01,75
E09000027,Richmond upon Thames,2016-07-01,77
E09000028,Southwark,2016-07-01,149
E09000029,Sutton,2016-07-01,31
E09000030,Tower Hamlets,2016-07-01,132
E09000031,Waltham Forest,2016-07-01,58
E09000032,Wandsworth,2016-07-01,61
E09000033,Westminster,2016-07-01,331
E09000002,Barking and Dagenham,2016-10-01,31
E09000003,Barnet,2016-10-01,332
E09000004,Bexley,2016-10-01,39
E09000005,Brent,2016-10-01,265
E09000006,Bromley,2016-10-01,84
E09000007,Camden,2016-10-01,156
E09000001,City of London,2016-10-01,94
E09000008,Croydon,2016-10-01,101
E09000009,Ealing,2016-10-01,218
E09000010,Enfield,2016-10-01,65
E09000011,Greenwich,2016-10-01,59
E09000012,Hackney,2016-10-01,61
E09000013,Hammersmith and Fulham,2016-10-01,156
E09000014,Haringey,2016-10-01,65
E09000015,Harrow,2016-10-01,51
E09000016,Havering,2016-10-01,120
E09000017,Hillingdon,2016-10-01,442
E09000018,Hounslow,2016-10-01,334
E09000019,Islington,2016-10-01,125
E09000020,Kensington and Chelsea,2016-10-01,109
E09000021,Kingston upon Thames,2016-10-01,30
E09000022,Lambeth,2016-10-01,127
E09000023,Lewisham,2016-10-01,29
E09000024,Merton,2016-10-01,292
E09000025,Newham,2016-10-01,66
E09000026,Redbridge,2016-10-01,79
E09000027,Richmond upon Thames,2016-10-01,75
E09000028,Southwark,2016-10-01,161
E09000029,Sutton,2016-10-01,34
E09000030,Tower Hamlets,2016-10-01,154
E09000031,Waltham Forest,2016-10-01,60
E09000032,Wandsworth,2016-10-01,60
E09000033,Westminster,2016-10-01,441
E09000002,Barking and Dagenham,2017-01-01,46
E09000003,Barnet,2017-01-01,396
E09000004,Bexley,2017-01-01,48
E09000005,Brent,2017-01-01,231
E09000006,Bromley,2017-01-01,89
E09000007,Camden,2017-01-01,153
E09000001,City of London,2017-01-01,99
E09000008,Croydon,2017-01-01,131
E09000009,Ealing,2017-01-01,240
E09000010,Enfield,2017-01-01,78
E09000011,Greenwich,2017-01-01,73
E09000012,Hackney,2017-01-01,88
E09000013,Hammersmith and Fulham,2017-01-01,224
E09000014,Haringey,2017-01-01,67
E09000015,Harrow,2017-01-01,77
E09000016,Havering,2017-01-01,129
