ons_la_code_apr_2019,borough,quarter,count
E09000001,City of London,2020-04-01,106
E09000008,Croydon,2020-04-01,452
E09000009,Ealing,2020-04-01,664
E09000010,Enfield,2020-04-01,367
E09000011,Greenwich,2020-04-01,342
E09000012,Hackney,2020-04-01,275
E09000013,Hammersmith and Fulham,2020-04-01,853
E09000014,Haringey,2020-04-01,467
E09000015,Harrow,2020-04-01,467
E09000016,Havering,2020-04-01,285
E09000017,Hillingdon,2020-04-01,1092
E09000018,Hounslow,2020-04-01,597
E09000019,Islington,2020-04-01,433
E09000020,Kensington and Chelsea,2020-04-01,758
E09000021,Kingston upon Thames,2020-04-01,357
E09000022,Lambeth,2020-04-01,400
E09000023,Lewisham,2020-04-01,256
E09000024,Merton,2020-04-01,531
E09000025,Newham,2020-04-01,173
E09000026,Redbridge,2020-04-01,343
E09000027,Richmond upon Thames,2020-04-01,665
E09000028,Southwark,2020-04-01,613
E09000029,Sutton,2020-04-01,250
E09000030,Tower Hamlets,2020-04-01,300
E09000031,Waltham Forest,2020-04-01,190
E09000032,Wandsworth,2020-04-01,660
E09000033,Westminster,2020-04-01,1522
E09000002,Barking and Dagenham,2020-07-01,169
E09000003,Barnet,2020-07-01,1619
E09000004,Bexley,2020-07-01,320
E09000005,Brent,2020-07-01,662
E09000006,Bromley,2020-07-01,689
E09000007,Camden,2020-07-01,1029
E09000001,City of London,2020-07-01,153
E09000008,Croydon,2020-07-01,563
E09000009,Ealing,2020-07-01,777
E09000010,Enfield,2020-07-01,476
E09000011,Greenwich,2020-07-01,407
E09000012,Hackney,2020-07-01,407
E09000013,Hammersmith and Fulham,2020-07-01,1004
E09000014,Haringey,2020-07-01,578
E09000015,Harrow,2020-07-01,550
E09000016,Havering,2020-07-01,420
E09000017,Hillingdon,2020-07-01,1686
E09000018,Hounslow,2020-07-01,701
E09000019,Islington,2020-07-01,547
E09000020,Kensington and Chelsea,2020-07-01,884
E09000021,Kingston upon Thames,2020-07-01,411
E09000022,Lambeth,2020-07-01,503
E09000023,Lewisham,2020-07-01,328
E09000024,Merton,2020-07-01,636
E09000025,Newham,2020-07-01,240
E09000026,Redbridge,2020-07-01,427
E09000027,Richmond upon Thames,2020-07-01,802
E09000028,Southwark,2020-07-01,706
E09000029,Sutton,2020-07-01,321
E09000030,Tower Hamlets,2020-07-01,407
E09000031,Waltham Forest,2020-07-01,237
E09000032,Wandsworth,2020-07-01,795
E09000033,Westminster,2020-07-01,1717
E09000002,Barking and Dagenham,2020-10-01,206
E09000003,Barnet,2020-10-01,1864
E09000004,Bexley,2020-10-01,361
E09000005,Brent,2020-10-01,727
E09000006,Bromley,2020-10-01,804
E09000007,Camden,2020-10-01,1176
