ons_la_code_apr_2019,borough,quarter,count
E09000015,Harrow,2017-04-01,270
E09000016,Havering,2017-04-01,146
E09000017,Hillingdon,2017-04-01,254
E09000018,Hounslow,2017-04-01,213
E09000019,Islington,2017-04-01,198
E09000020,Kensington and Chelsea,2017-04-01,466
E09000021,Kingston upon Thames,2017-04-01,176
E09000022,Lambeth,2017-04-01,203
E09000023,Lewisham,2017-04-01,143
E09000024,Merton,2017-04-01,168
E09000025,Newham,2017-04-01,122
E09000026,Redbridge,2017-04-01,201
E09000027,Richmond upon Thames,2017-04-01,307
E09000028,Southwark,2017-04-01,216
E09000029,Sutton,2017-04-01,158
E09000030,Tower Hamlets,2017-04-01,103
E09000031,Waltham Forest,2017-04-01,100
E09000032,Wandsworth,2017-04-01,313
E09000033,Westminster,2017-04-01,590
E09000002,Barking and Dagenham,2017-07-01,88
E09000003,Barnet,2017-07-01,840
E09000004,Bexley,2017-07-01,155
E09000005,Brent,2017-07-01,311
E09000006,Bromley,2017-07-01,415
E09000007,Camden,2017-07-01,542
E09000001,City of London,2017-07-01,20
E09000008,Croydon,2017-07-01,284
E09000009,Ealing,2017-07-01,318
E09000010,Enfield,2017-07-01,226
E09000011,Greenwich,2017-07-01,172
E09000012,Hackney,2017-07-01,152
E09000013,Hammersmith and Fulham,2017-07-01,239
E09000014,Haringey,2017-07-01,281
E09000015,Harrow,2017-07-01,302
E09000016,Havering,2017-07-01,167
E09000017,Hillingdon,2017-07-01,284
E09000018,Hounslow,2017-07-01,252
E09000019,Islington,2017-07-01,223
E09000020,Kensington and Chelsea,2017-07-01,547
E09000021,Kingston upon Thames,2017-07-01,205
E09000022,Lambeth,2017-07-01,233
E09000023,Lewisham,2017-07-01,168
E09000024,Merton,2017-07-01,193
E09000025,Newham,2017-07-01,131
E09000026,Redbridge,2017-07-01,235
E09000027,Richmond upon Thames,2017-07-01,345
E09000028,Southwark,2017-07-01,247
E09000029,Sutton,2017-07-01,175
E09000030,Tower Hamlets,2017-07-01,132
E09000031,Waltham Forest,2017-07-01,116
E09000032,Wandsworth,2017-07-01,364
E09000033,Westminster,2017-07-01,662
E09000002,Barking and Dagenham,2017-10-01,91
E09000003,Barnet,2017-10-01,922
E09000004,Bexley,2017-10-01,172
E09000005,Brent,2017-10-01,350
E09000006,Bromley,2017-10-01,449
E09000007,Camden,2017-10-01,604
E09000001,City of London,2017-10-01,22
E09000008,Croydon,2017-10-01,334
E09000009,Ealing,2017-10-01,363
E09000010,Enfield,2017-10-01,259
E09000011,Greenwich,2017-10-01,214
E09000012,Hackney,2017-10-01,175
E09000013,Hammersmith and Fulham,2017-10-01,265
E09000014,Haringey,2017-10-01,301
E09000015,Harrow,2017-10-01,332
E09000016,Havering,2017-10-01,190
E09000017,Hillingdon,2017-10-01,291
E09000018,Hounslow,2017-10-01,294
E09000019,Islington,2017-10-01,241
E09000020,Kensington and Chelsea,2017-10-01,589
E09000021,Kingston upon Thames,2017-10-01,226
E09000022,Lambeth,2017-10-01,258
E09000023,Lewisham,2017-10-01,190
E09000024,Merton,2017-10-01,229
E09000025,Newham,2017-10-01,141
E09000026,Redbridge,2017-10-01,264
E09000027,Richmond upon Thames,2017-10-01,395
E09000028,Southwark,2017-10-01,281
E09000029,Sutton,2017-10-01,201
E09000030,Tower Hamlets,2017-10-01,147
E09000031,Waltham Forest,2017-10-01,140
E09000032,Wandsworth,2017-10-01,419
E09000033,Westminster,2017-10-01,719
E09000002,Barking and Dagenham,2018-01-01,106
E09000003,Barnet,2018-01-01,1015
E09000004,Bexley,2018-01-01,202
E09000005,Brent,2018-01-01,384
E09000006,Bromley,2018-01-01,507
E09000007,Camden,2018-01-01,637
E09000001,City of London,2018-01-01,22
E09000008,Croydon,2018-01-01,387
E09000009,Ealing,2018-01-01,385
E09000010,Enfield,2018-01-01,304
E09000011,Greenwich,2018-01-01,243
E09000012,Hackney,2018-01-01,197
E09000013,Hammersmith and Fulham,2018-01-01,300
E09000014,Haringey,2018-01-01,341
E09000015,Harrow,2018-01-01,368
E09000016,Havering,2018-01-01,211
E09000017,Hillingdon,2018-01-01,329
E09000018,Hounslow,2018-01-01,319
E09000019,Islington,2018-01-01,273
E09000020,Kensington and Chelsea,2018-01-01,625
E09000021,Kingston upon Thames,2018-01-01,254
E09000022,Lambeth,2018-01-01,292
E09000023,Lewisham,2018-01-01,216
E09000024,Merton,2018-01-01,259
E09000025,Newham,2018-01-01,151
E09000026,Redbridge,2018-01-01,301
E09000027,Richmond upon Thames,2018-01-01,446
E09000028,Southwark,2018-01-01,312
E09000029,Sutton,2018-01-01,217
E09000030,Tower Hamlets,2018-01-01,168
E09000031,Waltham Forest,2018-01-01,165
E09000032,Wandsworth,2018-01-01,484
E09000033,Westminster,2018-01-01,793
E09000002,Barking and Dagenham,2018-04-01,131
E09000003,Barnet,2018-04-01,1112
E09000004,Bexley,2018-04-01,237
E09000005,Brent,2018-04-01,441
E09000006,Bromley,2018-04-01,564
E09000007,Camden,2018-04-01,690
E09000001,City of London,2018-04-01,25
E09000008,Croydon,2018-04-01,442
E09000009,Ealing,2018-04-01,444
E09000010,Enfield,2018-04-01,344
E09000011,Greenwich,2018-04-01,273
E09000012,Hackney,2018-04-01,223
E09000013,Hammersmith and Fulham,2018-04-01,344
E09000014,Haringey,2018-04-01,374
E09000015,Harrow,2018-04-01,421
E09000016,Havering,2018-04-01,242
E09000017,Hillingdon,2018-04-01,389
E09000018,Hounslow,2018-04-01,354
E09000019,Islington,2018-04-01,317
E09000020,Kensington and Chelsea,2018-04-01,683
E09000021,Kingston upon Thames,2018-04-01,286
E09000022,Lambeth,2018-04-01,344
E09000023,Lewisham,2018-04-01,252
E09000024,Merton,2018-04-01,312
E09000025,Newham,2018-04-01,187
E09000026,Redbridge,2018-04-01,341
E09000027,Richmond upon Thames,2018-04-01,522
E09000028,Southwark,2018-04-01,344
E09000029,Sutton,2018-04-01,257
E09000030,Tower Hamlets,2018-04-01,204
E09000031,Waltham Forest,2018-04-01,199
E09000032,Wandsworth,2018-04-01,563
E09000033,Westminster,2018-04-01,875
E09000002,Barking and Dagenham,2018-07-01,160
E09000003,Barnet,2018-07-01,1219
E09000004,Bexley,2018-07-01,285
E09000005,Brent,2018-07-01,520
E09000006,Bromley,2018-07-01,642
E09000007,Camden,2018-07-01,759
E09000001,City of London,2018-07-01,27
E09000008,Croydon,2018-07-01,510
E09000009,Ealing,2018-07-01,502
E09000010,Enfield,2018-07-01,401
E09000011,Greenwich,2018-07-01,313
E09000012,Hackney,2018-07-01,256
E09000013,Hammersmith and Fulham,2018-07-01,388
E09000014,Haringey,2018-07-01,429
E09000015,Harrow,2018-07-01,484
E09000016,Havering,2018-07-01,282
E09000017,Hillingdon,2018-07-01,437
E09000018,Hounslow,2018-07-01,422
E09000019,Islington,2018-07-01,370
E09000020,Kensington and Chelsea,2018-07-01,769
E09000021,Kingston upon Thames,2018-07-01,319
E09000022,Lambeth,2018-07-01,375
E09000023,Lewisham,2018-07-01,294
E09000024,Merton,2018-07-01,348
E09000025,Newham,2018-07-01,210
E09000026,Redbridge,2018-07-01,410
E09000027,Richmond upon Thames,2018-07-01,573
E09000028,Southwark,2018-07-01,385
E09000029,Sutton,2018-07-01,299
E09000030,Tower Hamlets,2018-07-01,244
E09000031,Waltham Forest,2018-07-01,250
E09000032,Wandsworth,2018-07-01,638
E09000033,Westminster,2018-07-01,933
E09000002,Barking and Dagenham,2018-10-01,188
E09000003,Barnet,2018-10-01,1352
E09000004,Bexley,2018-10-01,327
E09000005,Brent,2018-10-01,595
E09000006,Bromley,2018-10-01,704
E09000007,Camden,2018-10-01,825
E09000001,City of London,2018-10-01,29
